Label	ID	HGNCÊName	Kinase Name	Group	Family	SubFamily	UniprotID
MAPKAPK5	MAPKAPK5	MAPKAPK5	MAP kinase-activated protein kinase 5	CAMK	MAPKAPK	MK5	Q8IW41
MARK1	MARK1	MARK1	Serine/threonine-protein kinase MARK1	CAMK	CAMKL	MARK	Q9P0L2
MARK2	MARK2	MARK2	Serine/threonine-protein kinase MARK2	CAMK	CAMKL	MARK	Q7KZI7
MARK3	MARK3	MARK3	MAP/microtubule affinity-regulating kinase 3	CAMK	CAMKL	MARK	P27448
MARK4	MARK4	MARK4	MAP/microtubule affinity-regulating kinase 4	CAMK	CAMKL	MARK	Q96L34
MAST1	MAST1	MAST1	Microtubule-associated serine/threonine-protein kinase 1	AGC	MAST		Q9Y2H9
MAST2	MAST2	MAST2	Microtubule-associated serine/threonine-protein kinase 2	AGC	MAST		Q6P0Q8
MAST3	MAST3	MAST3	Microtubule-associated serine/threonine-protein kinase 3	AGC	MAST		O60307
MAST4	MAST4	MAST4	Microtubule-associated serine/threonine-protein kinase 4	AGC	MAST		O15021
MASTL	MASTL	MASTL	Serine/threonine-protein kinase greatwall	AGC	MAST		Q96GX5
MELK	MELK	MELK	Maternal embryonic leucine zipper kinase	CAMK	CAMKL	MELK	Q14680
MER	MER	MERTK	Tyrosine-protein kinase Mer	TK	Axl		Q12866
MET	MET	MET	Hepatocyte growth factor receptor	TK	Met		P08581
MISR2	MISR2	AMHR2	Anti-Muellerian hormone type-2 receptor	TKL	STKR	STKR2	Q16671
MLK1	MLK1	MAP3K9	Mitogen-activated protein kinase kinase kinase 9	TKL	MLK	MLK	P80192
MLK2	MLK2	MAP3K10	Mitogen-activated protein kinase kinase kinase 10	TKL	MLK	MLK	Q02779
MLK3	MLK3	MAP3K11	Mitogen-activated protein kinase kinase kinase 11	TKL	MLK	MLK	Q16584
MLK4	MLK4		Mitogen-activated protein kinase kinase kinase MLK4	TKL	MLK	MLK	Q5TCX8
MLKL	MLKL	MLKL	Mixed lineage kinase domain-like protein	TKL	TKL-Unique		Q8NB16
MNK1	MNK1	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1	CAMK	MAPKAPK	MNK	Q9BUB5
MNK2	MNK2	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2	CAMK	MAPKAPK	MNK	Q9HBH9
MOK	MOK	MOK	MAPK/MAK/MRK overlapping kinase	CMGC	RCK		Q9UQ07
MOS	MOS	MOS	Proto-oncogene serine/threonine-protein kinase mos	Other	MOS		P00540
MPSK1	MPSK1	STK16	Serine/threonine-protein kinase 16	Other	NAK		O75716
MRCKa	MRCKa	CDC42BPA	Serine/threonine-protein kinase MRCK alpha	AGC	DMPK	GEK	Q5VT25
MRCKb	MRCKb	CDC42BPB	Serine/threonine-protein kinase MRCK beta	AGC	DMPK	GEK	Q9Y5S2
MSK1	MSK1	RPS6KA5	Ribosomal protein S6 kinase alpha-5	AGC	RSK	MSK	O75582
MSK2	MSK2	RPS6KA4	Ribosomal protein S6 kinase alpha-4	AGC	RSK	MSK	O75676
MSSK1	MSSK1	SRPK3	SRSF protein kinase 3	CMGC	SRPK		Q9UPE1
MST1	MST1	STK4	Serine/threonine-protein kinase 4	STE	STE20	MST	Q13043
MST2	MST2	STK3	Serine/threonine-protein kinase 3	STE	STE20	MST	Q13188
MST3	MST3	STK24	Serine/threonine-protein kinase 24	STE	STE20	YSK	Q9Y6E0
MST4	MST4	STK26	Serine/threonine-protein kinase MST4	STE	STE20	YSK	Q9P289
MUSK	MUSK	MUSK	Muscle	TK	Musk		O15146
MYO3A	MYO3A	MYO3A	Myosin-IIIa	STE	STE20	NinaC	Q8NEV4
MYO3B	MYO3B	MYO3B	Myosin-IIIb	STE	STE20	NinaC	Q8WXR4
MYT1	MYT1	PKMYT1	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	Other	WEE		Q99640
NDR1	NDR1	STK38	Serine/threonine-protein kinase 38	AGC	NDR		Q15208
NDR2	NDR2	STK38L	Serine/threonine-protein kinase 38-like	AGC	NDR		Q9Y2H1
NEK1	NEK1	NEK1	Serine/threonine-protein kinase Nek1	Other	NEK		Q96PY6
NEK10	NEK10	NEK10	Serine/threonine-protein kinase Nek10	Other	NEK		Q6ZWH5
NEK11	NEK11	NEK11	Serine/threonine-protein kinase Nek11	Other	NEK		Q8NG66
NEK2	NEK2	NEK2	Serine/threonine-protein kinase Nek2	Other	NEK		P51955
NEK3	NEK3	NEK3	Serine/threonine-protein kinase Nek3	Other	NEK		P51956
NEK4	NEK4	NEK4	Serine/threonine-protein kinase Nek4	Other	NEK		P51957
NEK5	NEK5	NEK5	Serine/threonine-protein kinase Nek5	Other	NEK		Q6P3R8
NEK6	NEK6	NEK6	Serine/threonine-protein kinase Nek6	Other	NEK		Q9HC98
NEK7	NEK7	NEK7	Serine/threonine-protein kinase Nek7	Other	NEK		Q8TDX7
NEK8	NEK8	NEK8	Serine/threonine-protein kinase Nek8	Other	NEK		Q86SG6
NEK9	NEK9	NEK9	Serine/threonine-protein kinase Nek9	Other	NEK		Q8TD19
NIK	NIK	MAP3K14	Mitogen-activated protein kinase kinase kinase 14	STE	STE-Unique		Q99558
NIM1	NIM1	NIM1K	Serine/threonine-protein kinase NIM1	CAMK	CAMKL	NIM1	Q8IY84
NLK	NLK	NLK	Serine/threonine-protein kinase NLK	CMGC	MAPK	nmo	Q9UBE8
NRBP1	NRBP1	NRBP1	Nuclear receptor-binding protein	Other	NRBP		Q9UHY1
NRBP2	NRBP2	NRBP2	Nuclear receptor-binding protein 2	Other	NRBP		Q9NSY0
NuaK1	NuaK1	NUAK1	NUAK family SNF1-like kinase 1	CAMK	CAMKL	NuaK	O60285
NuaK2	NuaK2	NUAK2	NUAK family SNF1-like kinase 2	CAMK	CAMKL	NuaK	Q9H093
Obscn	Obscn	OBSCN	Obscurin	CAMK	Trio		Q5VST9
OSR1	OSR1	OXSR1	Serine/threonine-protein kinase OSR1	STE	STE20	FRAY	O95747
p38a	p38a	MAPK14	Mitogen-activated protein kinase 14	CMGC	MAPK	p38	Q16539
p38b	p38b	MAPK11	Mitogen-activated protein kinase 11	CMGC	MAPK	p38	Q15759
p38d	p38d	MAPK13	Mitogen-activated protein kinase 13	CMGC	MAPK	p38	O15264
p38g	p38g	MAPK12	Mitogen-activated protein kinase 12	CMGC	MAPK	p38	P53778
p70S6K	p70S6K	RPS6KB1	Ribosomal protein S6 kinase beta-1	AGC	RSK	RSKp70	P23443
p70S6Kb	p70S6Kb	RPS6KB2	Ribosomal protein S6 kinase beta-2	AGC	RSK	RSKp70	Q9UBS0
PAK1	PAK1	PAK1	Serine/threonine-protein kinase PAK 1	STE	STE20	PAKA	Q13153
PAK2	PAK2	PAK2	Serine/threonine-protein kinase PAK 2	STE	STE20	PAKA	Q13177
PAK3	PAK3	PAK3	Serine/threonine-protein kinase PAK 3	STE	STE20	PAKA	O75914
PAK4	PAK4	PAK4	Serine/threonine-protein kinase PAK 4	STE	STE20	PAKB	O96013
PAK5	PAK5	PAK7	Serine/threonine-protein kinase PAK 7	STE	STE20	PAKB	Q9P286
PAK6	PAK6	PAK6	Serine/threonine-protein kinase PAK 6	STE	STE20	PAKB	Q9NQU5
PAN3	PAN3	PAN3	PAB-dependent poly(A)-specific ribonuclease subunit 3	Other	PAN3		Q58A45
PASK	PASK	PASK	PAS domain-containing serine/threonine-protein kinase	CAMK	CAMKL	PASK	Q96RG2
PBK	PBK	PBK	Lymphokine-activated killer T-cell-originated protein kinase	Other	TOPK		Q96KB5
PCTAIRE1	PCTAIRE1	CDK16	Cyclin-dependent kinase 16	CMGC	CDK	PCTAIRE	Q00536
PCTAIRE2	PCTAIRE2	CDK17	Cyclin-dependent kinase 17	CMGC	CDK	PCTAIRE	Q00537
PCTAIRE3	PCTAIRE3	CDK18	Cyclin-dependent kinase 18	CMGC	CDK	PCTAIRE	Q07002
PDGFRa	PDGFRa	PDGFRA	Platelet-derived growth factor receptor alpha	TK	PDGFR		P16234
PDGFRb	PDGFRb	PDGFRB	Platelet-derived growth factor receptor beta	TK	PDGFR		P09619
PDHK1	PDHK1	PDK1	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1	Atypical	PDHK		Q15118
PDHK2	PDHK2	PDK2	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2	Atypical	PDHK		Q15119
PDHK3	PDHK3	PDK3	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3	Atypical	PDHK		Q15120
PDHK4	PDHK4	PDK4	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4	Atypical	PDHK		Q16654
PDK1	PDK1	PDPK1	3-phosphoinositide-dependent protein kinase 1	AGC	PDK1		O15530
PEK	PEK	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3	Other	PEK	PEK	Q9NZJ5
PFTAIRE1	PFTAIRE1	CDK14	Cyclin-dependent kinase 14	CMGC	CDK	PFTAIRE	O94921
PFTAIRE2	PFTAIRE2	CDK15	Cyclin-dependent kinase 15	CMGC	CDK	PFTAIRE	Q96Q40
PHKg1	PHKg1	PHKG1	Phosphorylase b kinase gamma catalytic chain	CAMK	PHK		Q16816
PHKg2	PHKg2	PHKG2	Phosphorylase b kinase gamma catalytic chain	CAMK	PHK		P15735
PIK3R4	PIK3R4	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4	Other	VPS15		Q99570
PIM1	PIM1	PIM1	Serine/threonine-protein kinase pim-1	CAMK	PIM		P11309
PIM2	PIM2	PIM2	Serine/threonine-protein kinase pim-2	CAMK	PIM		Q9P1W9
PIM3	PIM3	PIM3	Serine/threonine-protein kinase pim-3	CAMK	PIM		Q86V86
PINK1	PINK1	PINK1	Serine/threonine-protein kinase PINK1	Other	NKF2		Q9BXM7
PITSLRE	PITSLRE	CDK11B	Cyclin-dependent kinase 11B	CMGC	CDK	CDK11	P21127
PKACa	PKACa	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	AGC	PKA		P17612
PKACb	PKACb	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	AGC	PKA		P22694
PKACg	PKACg	PRKACG	cAMP-dependent protein kinase catalytic subunit gamma	AGC	PKA		P22612
PKCa	PKCa	PRKCA	Protein kinase C alpha type	AGC	PKC	PKCa	P17252
PKCb	PKCb	PRKCB	Protein kinase C beta type	AGC	PKC	PKCa	P05771
PKCd	PKCd	PRKCD	Protein kinase C delta type	AGC	PKC	PKCd	Q05655
PKCe	PKCe	PRKCE	Protein kinase C epsilon type	AGC	PKC	PKCh	Q02156
PKCg	PKCg	PRKCG	Protein kinase C gamma type	AGC	PKC	PKCa	P05129
PKCh	PKCh	PRKCH	Protein kinase C eta type	AGC	PKC	PKCh	P24723
PKCi	PKCi	PRKCI	Protein kinase C iota type	AGC	PKC	PKCi	P41743
PKCt	PKCt	PRKCQ	Protein kinase C theta type	AGC	PKC	PKCd	Q04759
PKCz	PKCz	PRKCZ	Protein kinase C zeta type	AGC	PKC	PKCi	Q05513
PKD1	PKD1	PRKD1	Serine/threonine-protein kinase D1	CAMK	PKD		Q15139
PKD2	PKD2	PRKD2	Serine/threonine-protein kinase D2	CAMK	PKD		Q9BZL6
PKD3	PKD3	PRKD3	Serine/threonine-protein kinase D3	CAMK	PKD		O94806
PKG1	PKG1	PRKG1	cGMP-dependent protein kinase	AGC	PKG		Q13976
PKG2	PKG2	PRKG2	cGMP-dependent protein kinase 2	AGC	PKG		Q13237
PKN1	PKN1	PKN1	Serine/threonine-protein kinase N1	AGC	PKN		Q16512
PKN2	PKN2	PKN2	Serine/threonine-protein kinase N2	AGC	PKN		Q16513
PKN3	PKN3	PKN3	Serine/threonine-protein kinase N3	AGC	PKN		Q6P5Z2
PKR	PKR	EIF2AK2	Interferon-induced	Other	PEK		P19525
PLK1	PLK1	PLK1	Serine/threonine-protein kinase PLK1	Other	PLK		P53350
PLK2	PLK2	PLK2	Serine/threonine-protein kinase PLK2	Other	PLK		Q9NYY3
PLK3	PLK3	PLK3	Serine/threonine-protein kinase PLK3	Other	PLK		Q9H4B4
PLK4	PLK4	PLK4	Serine/threonine-protein kinase PLK4	Other	PLK		O00444
PRKX	PRKX	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX	AGC	PKA		P51817
PRKY	PRKY	PRKY	Serine/threonine-protein kinase PRKY	AGC	PKA		O43930
PRP4	PRP4	PRPF4B	Serine/threonine-protein kinase PRP4 homolog	CMGC	DYRK	PRP4	Q13523
PRPK	PRPK	TP53RK	TP53-regulating kinase	Other	Bud32		Q96S44
PSKH1	PSKH1	PSKH1	Serine/threonine-protein kinase H1	CAMK	PSK		P11801
PSKH2	PSKH2	PSKH2	Serine/threonine-protein kinase H2	CAMK	PSK		Q96QS6
PYK2	PYK2	PTK2B	Protein-tyrosine kinase 2-beta	TK	FAK		Q14289
QIK	QIK	SIK2	Serine/threonine-protein kinase SIK2	CAMK	CAMKL	QIK	Q9H0K1
QSK	QSK	SIK3	Serine/threonine-protein kinase SIK3	CAMK	CAMKL	QIK	Q9Y2K2
RAF1	RAF1	RAF1	RAF proto-oncogene serine/threonine-protein kinase	TKL	RAF		P04049
RET	RET	RET	Proto-oncogene tyrosine-protein kinase receptor Ret	TK	Ret		P07949
RHOK	RHOK	GRK1	Rhodopsin kinase	AGC	GRK	GRK	Q15835
RIOK1	RIOK1	RIOK1	Serine/threonine-protein kinase RIO1	Atypical	RIO	RIO1	Q9BRS2
RIOK2	RIOK2	RIOK2	Serine/threonine-protein kinase RIO2	Atypical	RIO	RIO2	Q9BVS4
RIOK3	RIOK3	RIOK3	Serine/threonine-protein kinase RIO3	Atypical	RIO	RIO3	O14730
RIPK1	RIPK1	RIPK1	Receptor-interacting serine/threonine-protein kinase 1	TKL	RIPK		Q13546
RIPK2	RIPK2	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	TKL	RIPK		O43353
RIPK3	RIPK3	RIPK3	Receptor-interacting serine/threonine-protein kinase 3	TKL	RIPK		Q9Y572
RNAseL	RNAseL	RNASEL	2-5A-dependent ribonuclease	Other	Other-Unique		Q05823
ROCK1	ROCK1	ROCK1	Rho-associated protein kinase 1	AGC	DMPK	ROCK	Q13464
ROCK2	ROCK2	ROCK2	Rho-associated protein kinase 2	AGC	DMPK	ROCK	O75116
RON	RON	MST1R	Macrophage-stimulating protein receptor	TK	Met		Q04912
ROR1	ROR1	ROR1	Tyrosine-protein kinase transmembrane receptor ROR1	TK	Ror		Q01973
ROR2	ROR2	ROR2	Tyrosine-protein kinase transmembrane receptor ROR2	TK	Ror		Q01974
ROS	ROS	ROS1	Proto-oncogene tyrosine-protein kinase ROS	TK	Sev		P08922
RSK1	RSK3	RPS6KA2	Ribosomal protein S6 kinase alpha-2	AGC	RSK	RSKp90	Q15349
RSK2	RSK2	RPS6KA3	Ribosomal protein S6 kinase alpha-3	AGC	RSK	RSKp90	P51812
RSK3	RSK1	RPS6KA1	Ribosomal protein S6 kinase alpha-1	AGC	RSK	RSKp90	Q15418
RSK4	RSK4	RPS6KA6	Ribosomal protein S6 kinase alpha-6	AGC	RSK	RSKp90	Q9UK32
RSKL1	RSKL1	RPS6KC1	Ribosomal protein S6 kinase delta-1	AGC	RSKL		Q96S38
RSKL2	RSKL2	RPS6KL1	Ribosomal protein S6 kinase-like 1	AGC	RSKL		Q9Y6S9
RYK	RYK	RYK	Tyrosine-protein kinase RYK	TK	Ryk		P34925
SBK	SBK	SBK1	Serine/threonine-protein kinase SBK1	Other	NKF1		Q52WX2
SCYL1	SCYL1	SCYL1	N-terminal kinase-like protein	Other	SCY1		Q96KG9
SCYL2	SCYL2	SCYL2	SCY1-like protein 2	Other	SCY1		Q6P3W7
SCYL3	SCYL3	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin	Other	SCY1		Q8IZE3
SGK	SGK1	SGK1	Serine/threonine-protein kinase Sgk1	AGC	SGK		O00141
SgK069	SgK069	SBK2	Serine/threonine-protein kinase SBK2	Other	NKF1		P0C263
SgK071	SgK071	STKLD1	Protein kinase-like protein SgK071	Other	SgK071		Q8NE28
SgK085	SgK085	MYLK4	Myosin light chain kinase family member 4	CAMK	MLCK		Q86YV6
SgK110	SgK110	SBK3	Putative uncharacterized serine/threonine-protein kinase SgK110	Other	NKF1		P0C264
SgK196	SgK196	POMK	Protein kinase-like protein SgK196	Other	Other-Unique		Q9H5K3
SGK2	SGK2	SGK2	Serine/threonine-protein kinase Sgk2	AGC	SGK		Q9HBY8
SgK223	SgK223		Tyrosine-protein kinase SgK223	Other	NKF3		Q86YV5
SgK269	SgK269	PEAK1	Pseudopodium-enriched atypical kinase 1	Other	NKF3		Q9H792
SgK288	SgK288	ANKK1	Ankyrin repeat and protein kinase domain-containing protein 1	TKL	RIPK		Q8NFD2
SGK3	SGK3	SGK3	Serine/threonine-protein kinase Sgk3	AGC	SGK		Q96BR1
SgK307	SgK307	TEX14	Inactive serine/threonine-protein kinase TEX14	Other	NKF5		Q8IWB6
SgK396	SgK396	STK31	Serine/threonine-protein kinase 31	Other	Other-Unique		Q9BXU1
SgK424	SgK424	TEX14	Inactive serine/threonine-protein kinase TEX14	Other	NKF5		Q8IWB6
SgK493	SgK493	PKDCC	Protein kinase domain-containing protein	Other	SgK493		Q504Y2
SgK494	SgK494		Uncharacterized serine/threonine-protein kinase SgK494	AGC	RSKR		Q96LW2
SgK495	SgK495	STK40	Serine/threonine-protein kinase 40	CAMK	SgK495		Q8N2I9
SgK496	SgK496	DSTYK	Dual serine/threonine and tyrosine protein kinase	Other	Dusty		Q6XUX3
SIK	SIK	SIK1	Serine/threonine-protein kinase SIK1	CAMK	CAMKL	QIK	P57059
skMLCK	skMLCK	MYLK2	Myosin light chain kinase 2	CAMK	MLCK		Q9H1R3
SLK	SLK	SLK	STE20-like serine/threonine-protein kinase	STE	STE20	SLK	Q9H2G2
Slob	Slob	PXK	PX domain-containing protein kinase-like protein	Other	Slob		Q7Z7A4
SMG1	SMG1	SMG1	Serine/threonine-protein kinase SMG1	Atypical	PIKK	SMG1	Q96Q15
smMLCK	smMLCK	MYLK	Myosin light chain kinase	CAMK	MLCK		Q15746
SNRK	SNRK	SNRK	SNF-related serine/threonine-protein kinase	CAMK	CAMKL	SNRK	Q9NRH2
SPEG	SPEG	SPEG	Striated muscle preferentially expressed protein kinase	CAMK	Trio		Q15772
SRC	SRC	SRC	Proto-oncogene tyrosine-protein kinase Src	TK	Src		P12931
SRM	SRM	SRMS	Tyrosine-protein kinase Srms	TK	Src		Q9H3Y6
SRPK1	SRPK1	SRPK1	SRSF protein kinase 1	CMGC	SRPK		Q96SB4
SRPK2	SRPK2	SRPK2	SRSF protein kinase 2	CMGC	SRPK		P78362
SSTK	SSTK	TSSK6	Testis-specific serine/threonine-protein kinase 6	CAMK	TSSK		Q9BXA6
STK33	STK33	STK33	Serine/threonine-protein kinase 33	CAMK	STK33		Q9BYT3
STLK3	STLK3	STK39	STE20/SPS1-related proline-alanine-rich protein kinase	STE	STE20	FRAY	Q9UEW8
STLK5	STLK5	STRADA	STE20-related kinase adapter protein alpha	STE	STE20	STLK	Q7RTN6
STLK6	STLK6	STRADB	STE20-related kinase adapter protein beta	STE	STE20	STLK	Q9C0K7
SuRTK106	SuRTK106	STYK1	Tyrosine-protein kinase STYK1	TK	TK-Unique		Q6J9G0
SYK	SYK	SYK	Tyrosine-protein kinase SYK	TK	Syk		P43405
TAF1	TAF1	TAF1	Transcription initiation factor TFIID subunit 1	Atypical	TAF1		P21675
TAF1L	TAF1L	TAF1L	Transcription initiation factor TFIID subunit 1-like	Atypical	TAF1		Q8IZX4
TAK1	TAK1	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	TKL	MLK	TAK1	O43318
TAO1	TAO1	TAOK1	Serine/threonine-protein kinase TAO1	STE	STE20	TAO	Q7L7X3
TAO2	TAO2	TAOK2	Serine/threonine-protein kinase TAO2	STE	STE20	TAO	Q9UL54
TAO3	TAO3	TAOK3	Serine/threonine-protein kinase TAO3	STE	STE20	TAO	Q9H2K8
TBCK	TBCK	TBCK	TBC domain-containing protein kinase-like protein	Other	TBCK		Q8TEA7
TBK1	TBK1	TBK1	Serine/threonine-protein kinase TBK1	Other	IKK		Q9UHD2
TEC	TEC	TEC	Tyrosine-protein kinase Tec	TK	Tec		P42680
TESK1	TESK1	TESK1	Dual specificity testis-specific protein kinase 1	TKL	LISK	TESK	Q15569
TESK2	TESK2	TESK2	Dual-specificity testis-specific protein kinase 2	TKL	LISK	TESK	Q96S53
TGFbR1	TGFbR1	TGFBR1	TGF-beta receptor type-1	TKL	STKR	STKR1	P36897
TGFbR2	TGFbR2	TGFBR2	TGF-beta receptor type-2	TKL	STKR	STKR2	P37173
TIE1	TIE1	TIE1	Tyrosine-protein kinase receptor Tie-1	TK	Tie		P35590
TIE2	TIE2	TEK	Angiopoietin-1 receptor	TK	Tie		Q02763
TIF1a	TIF1a	TRIM24	Transcription intermediary factor 1-alpha	Atypical	TIF1		O15164
TIF1b	TIF1b	TRIM28	Transcription intermediary factor 1-beta	Atypical	TIF1		Q13263
TIF1D	TIF1D	TRIM66	Tripartite motif-containing protein 66	Atypical	TIF1		B5MCJ9
TIF1g	TIF1g	TRIM33	E3 ubiquitin-protein ligase TRIM33	Atypical	TIF1		Q9UPN9
TLK1	TLK1	TLK1	Serine/threonine-protein kinase tousled-like 1	Other	TLK		Q9UKI8
TLK2	TLK2	TLK2	Serine/threonine-protein kinase tousled-like 2	Other	TLK		Q86UE8
TNK1	TNK1	TNK1	Non-receptor tyrosine-protein kinase TNK1	TK	Ack		Q13470
Trad	Trad	KALRN	HCG2039851	CAMK	Trio		O60229
Trb1	Trb1	TRIB1	Tribbles homolog 1	CAMK	Trbl		Q96RU8
Trb2	Trb2	TRIB2	Tribbles homolog 2	CAMK	Trbl		Q92519
Trb3	Trb3	TRIB3	Tribbles homolog 3	CAMK	Trbl		Q96RU7
Trio	Trio	TRIO	Triple functional domain protein	CAMK	Trio		O75962
TRKA	TRKA	NTRK1	High affinity nerve growth factor receptor	TK	Trk		P04629
TRKB	TRKB	NTRK2	BDNF/NT-3 growth factors receptor	TK	Trk		Q16620
TRKC	TRKC	NTRK3	NT-3 growth factor receptor	TK	Trk		Q16288
TRRAP	TRRAP	TRRAP	Transformation/transcription domain-associated protein	Atypical	PIKK	TRRAP	Q9Y4A5
TSSK1	TSSK1	TSSK1B	Testis-specific serine/threonine-protein kinase 1	CAMK	TSSK		Q9BXA7
TSSK2	TSSK2	TSSK2	Testis-specific serine/threonine-protein kinase 2	CAMK	TSSK		Q96PF2
TSSK3	TSSK3	TSSK3	Testis-specific serine/threonine-protein kinase 3	CAMK	TSSK		Q96PN8
TSSK4	TSSK4	TSSK4	Testis-specific serine/threonine-protein kinase 4	CAMK	TSSK		Q6SA08
TTBK1	TTBK1	TTBK1	Tau-tubulin kinase 1	CK1	TTBK		Q5TCY1
TTBK2	TTBK2	TTBK2	Tau-tubulin kinase 2	CK1	TTBK		Q6IQ55
TTK	TTK	TTK	Dual specificity protein kinase TTK	Other	TTK		P33981
TTN	TTN	TTN	Titin	CAMK	MLCK		Q8WZ42
TXK	TXK	TXK	Tyrosine-protein kinase TXK	TK	Tec		P42681
TYK2	TYK2	TYK2	Non-receptor tyrosine-protein kinase TYK2	TK	Jak		P29597
TYRO3	TYRO3	TYRO3	Tyrosine-protein kinase receptor TYRO3	TK	Axl		Q06418
ULK1	ULK1	ULK1	Serine/threonine-protein kinase ULK1	Other	ULK		O75385
ULK2	ULK2	ULK2	Serine/threonine-protein kinase ULK2	Other	ULK		Q8IYT8
ULK3	ULK3	ULK3	Serine/threonine-protein kinase ULK3	Other	ULK		Q6PHR2
ULK4	ULK4	ULK4	Serine/threonine-protein kinase ULK4	Other	ULK		Q96C45
VACAMKL	VACAMKL	CAMKV	CaM kinase-like vesicle-associated protein	CAMK	CAMK-Unique		Q8NCB2
VRK1	VRK1	VRK1	Serine/threonine-protein kinase VRK1	CK1	VRK		Q99986
VRK2	VRK2	VRK2	Serine/threonine-protein kinase VRK2	CK1	VRK		Q86Y07
VRK3	VRK3	VRK3	Inactive serine/threonine-protein kinase VRK3	CK1	VRK		Q8IV63
Wee1	Wee1	WEE1	Wee1-like protein kinase	Other	WEE		P30291
Wee1B	Wee1B	WEE2	Wee1-like protein kinase 2	Other	WEE		P0C1S8
Wnk1	Wnk1	WNK1	Serine/threonine-protein kinase WNK1	Other	WNK		Q9H4A3
Wnk2	Wnk2	WNK2	Serine/threonine-protein kinase WNK2	Other	WNK		Q9Y3S1
Wnk3	Wnk3	WNK3	Serine/threonine-protein kinase WNK3	Other	WNK		Q9BYP7
Wnk4	Wnk4	WNK4	Serine/threonine-protein kinase WNK4	Other	WNK		Q96J92
YANK1	YANK1	STK32A	Serine/threonine-protein kinase 32A	AGC	YANK		Q8WU08
YANK2	YANK2	STK32B	Serine/threonine-protein kinase 32B	AGC	YANK		Q9NY57
YANK3	YANK3	STK32C	Serine/threonine-protein kinase 32C	AGC	YANK		Q86UX6
YES	YES	YES1	Tyrosine-protein kinase Yes	TK	Src		P07947
YSK1	YSK1	STK25	Serine/threonine-protein kinase 25	STE	STE20	YSK	O00506
ZAK	ZAK		Mitogen-activated protein kinase kinase kinase MLT	TKL	MLK	ZAK	Q9NYL2
ZAP70	ZAP70	ZAP70	Tyrosine-protein kinase ZAP-70	TK	Syk		P43403
ZC1/HGK	HGK	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	STE	STE20	MSN	O95819
ZC2/TNIK	TNIK	TNIK	TRAF2 and NCK-interacting protein kinase	STE	STE20	MSN	Q9UKE5
ZC3/MINK	MINK	MINK1	Misshapen-like kinase 1	STE	STE20	MSN	Q8N4C8
ZC4/NRK	NRK	NRK	Nik-related protein kinase	STE	STE20	MSN	Q7Z2Y5
